bin	distance_bp	type1	type2	type3	type4	total	delta_NPS_pct
90	-110	115	77	52	119	363	-1.101928
91	-100	86	63	45	93	287	-2.439024
92	-90	81	56	37	85	259	-1.544402
93	-80	64	48	45	68	225	-1.777778
94	-70	76	72	42	83	273	-2.564103
95	-60	83	54	51	85	273	-0.732601
96	-50	84	65	58	83	290	0.344828
97	-40	76	54	39	98	267	-8.239700
98	-30	87	44	33	82	246	2.032520
99	-20	77	51	41	95	264	-6.818182
100	-10	89	49	38	87	263	0.760456
101	0	81	57	51	88	277	-2.527076
102	10	94	51	48	78	271	5.904059
103	20	84	56	52	94	286	-3.496503
104	30	91	58	44	81	274	3.649635
105	40	77	39	39	89	244	-4.918033
106	50	81	69	44	95	289	-4.844291
107	60	80	50	47	81	258	-0.387597
108	70	98	65	39	77	279	7.526882
109	80	92	54	42	82	270	3.703704
110	90	95	50	47	112	304	-5.592105
